Unnamed: 0,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,st_teff,st_rad,st_mass,st_met,sy_snum,sy_pnum,sy_dist,esi,p_habitable,pl_name,ra,dec,travel_time_years
28,2.586,7.2,2.29,13.603,0.098,4684.0,0.67,0.69,-0.137,1,2,336.25,0.381342107657532,1,EPIC 212737443 b,204.2215065,-7.3180577,4386.841853806059
29,2.69,7.7,2.17,65.55,0.28,4684.0,0.67,0.69,-0.137,1,2,336.25,0.3900505565713349,1,EPIC 212737443 c,204.2215065,-7.3180577,4386.841853806059
30,1.725,8.21,8.77,0.571292,0.01326,5532.0,0.99,0.95,0.11,1,2,244.59,0.4687308034189871,1,EPIC 220674823 b,13.0800239,10.7947051,3191.011595605721
31,2.836,8.9,2.12,13.3397,0.1083,5532.0,0.99,0.95,0.11,1,2,244.59,0.3605086521948676,1,EPIC 220674823 c,13.0800239,10.7947051,3191.011595605721
32,2.332,10.4,4.49,16.141132,0.1237,5868.0,1.0,0.97,-0.12,1,1,121.971,0.4931521426637429,1,EPIC 229004835 b,186.4860415,-1.4047214,1591.2787739794162
33,1.95,8.75,6.39,3.5951,0.047,5430.0,1.71,1.05,0.2,1,3,321.296,0.5368835320591409,1,EPIC 249893012 b,228.2482353,-16.7246474,4191.746439436346
34,3.67,14.67,1.62,15.624,0.13,5430.0,1.71,1.05,0.2,1,3,321.296,0.3156098852667806,1,EPIC 249893012 c,228.2482353,-16.7246474,4191.746439436346
35,3.94,10.18,0.91,35.747,0.22,5430.0,1.71,1.05,0.2,1,3,321.296,0.2975039051749418,1,EPIC 249893012 d,228.2482353,-16.7246474,4191.746439436346
36,1.39,2.5,5.12,2.30538,0.02279,3326.0,0.3,0.3,0.1,1,2,16.009,0.6596440332629685,1,G 264-012 b,326.6719598,66.803848,208.85933453555745
37,1.76,3.75,3.78,8.0518,0.0525,3326.0,0.3,0.3,0.1,1,2,16.009,0.5247610905871531,1,G 264-012 c,326.6719598,66.803848,208.85933453555745
38,1.03,1.08,5.43,10.3465,0.0457,3024.0,0.14,0.12,-0.25,1,2,4.84867,0.7781602661515192,2,GJ 1002 b,1.6764641,-7.5462123,63.257541981542964
39,1.1,1.36,5.61,21.202,0.0738,3024.0,0.14,0.12,-0.25,1,2,4.84867,0.7589061117109671,2,GJ 1002 c,1.6764641,-7.5462123,63.257541981542964
40,1.1,1.37,5.66,3.204,0.021,2953.0,0.16,0.12,-0.08,1,3,3.67278,0.7497007007448094,1,GJ 1061 b,54.0032486,-44.5143104,47.91644616749982
41,1.18,1.74,5.82,6.689,0.035,2953.0,0.16,0.12,-0.08,1,3,3.67278,0.7184136445482143,1,GJ 1061 c,54.0032486,-44.5143104,47.91644616749982
42,1.16,1.64,5.77,13.031,0.054,2953.0,0.16,0.12,-0.08,1,3,3.67278,0.7290980134436404,1,GJ 1061 d,54.0032486,-44.5143104,47.91644616749982
43,1.192,1.83705,5.97,1.62892911,0.0157,3229.0,0.22,0.19,-0.17,1,2,12.613,0.7049119689515666,1,GJ 1132 b,153.7090696,-47.1549358,164.55386260834442
44,1.43,2.64,4.96,8.929,0.0476,3270.0,0.21,0.18,-0.17,1,2,12.613,0.644164764505076,1,GJ 1132 c,153.7090696,-47.1549358,164.55386260834442
45,11.9,96.7,0.315,41.38,0.166,3287.0,0.36,0.34,0.16,1,2,11.0143,0.2671839581629107,1,GJ 1148 b,175.4326081,42.7515862,143.69663116840465
46,9.71,68.06,0.409,532.58,0.912,3287.0,0.36,0.34,0.16,1,2,11.0143,0.3429530979968403,1,GJ 1148 c,175.4326081,42.7515862,143.69663116840465
47,3.25,10.62,1.7,389.7,0.5714,3280.0,0.18,0.16,-0.12,1,1,8.03625,0.51382979447892,1,GJ 1151 c,177.7304866,48.3732334,104.84388950973663
48,2.733,8.41,2.26,1.58040453,0.01505,3101.0,0.22,0.18,0.24,1,1,14.6427,0.366881953704165,1,GJ 1214 b,258.8313991,4.9606795,191.0340794430512
49,1.193,1.32,4.2,0.5182331,0.00915,3458.0,0.39,0.38,0.1,1,1,20.373,0.6604279579203272,1,GJ 1252 b,306.9286462,-56.4622865,265.7936924538017
50,2.63,7.4,2.24,3.6511,0.026,3236.0,0.19,0.18,-0.04,1,1,10.2525,0.3733046394784287,1,GJ 1265 b,333.4324675,-17.6870623,133.75790663538027
51,2.61,22.7,7.0,35.61253,0.1915,4640.0,0.7,0.73,0.003,1,2,16.32,0.4561679183977585,1,GJ 143 b,51.7501882,-63.500166,212.916755551271
52,1.55,3.03,4.47,11.4407,0.072,3607.0,0.38,0.38,-0.34,2,2,3.56228,0.5948433460237322,1,GJ 15 A b,4.6126677,44.0247296,46.474822301788095
