,pl_rade,pl_bmasse,pl_dens,pl_orbper,pl_orbsmax,st_teff,st_rad,st_mass,st_met,sy_snum,sy_pnum,sy_dist,esi,p_habitable,pl_name
854,1.77,3.78,3.75,99.2530951,0.3869,5078.0,0.74,0.81,-0.14,1,1,497.093,0.5574440896403012,1,Kepler-1389 b
855,2.94,5.2879,2.169438,15.771044,0.127,5594.0,1.3,1.08,0.28,1,4,391.038,0.35773194525785423,1,Kepler-139 b
856,3.38,23.2558,8.702677,157.072878,0.586,5594.0,1.3,1.08,0.28,1,4,391.038,0.40610520894721375,1,Kepler-139 c
857,1.695,4.65808,5.270467,7.30569992,0.075553,5622.0,1.1,1.08,0.27,1,4,391.038,0.6106150774749571,1,Kepler-139 d
858,0.8,0.437,4.69,2.44357812,0.0337,5697.0,0.92,0.95,-0.09,1,1,544.456,0.6836011815706099,1,Kepler-1393 b
859,1.62,3.26,4.21,9.06689421,0.0771,5044.0,0.78,0.83,0.04,1,1,752.237,0.5683008711849017,1,Kepler-1400 b
860,2.01,4.7,3.18,15.9314739,0.1143,5261.0,0.8,0.84,-0.09,1,1,962.183,0.4678883694282217,1,Kepler-1404 b
861,1.04,1.12,5.47,0.76486493,0.0152,5160.0,0.79,0.83,-0.03,1,1,694.89,0.774068939100146,2,Kepler-1409 b
862,0.69,0.257,4.3,3.107675,0.039,4910.0,0.79,1.0,0.264,1,2,301.183,0.635769695028529,1,Kepler-141 b
863,1.41,2.57,5.04,7.010606,0.067,4910.0,0.79,1.0,0.264,1,2,301.183,0.6522987465143076,1,Kepler-141 c
864,1.78,3.82,3.72,60.866168,0.2543,4092.0,0.6,0.63,0.01,1,1,367.0,0.5385398063434682,1,Kepler-1410 b
865,1.82,3.97,3.62,13.1829642,0.1066,5196.0,0.8,0.84,-0.05,1,1,1167.49,0.5104868961857022,1,Kepler-1413 b
866,1.23,2.04,6.02,3.51576315,0.0426,4951.0,0.75,0.8,-0.02,1,1,570.835,0.6925222181185355,1,Kepler-1414 b
867,1.66,3.39,4.07,22.4764425,0.131,4770.0,0.72,0.77,0.0,1,1,499.0,0.5593656107646935,1,Kepler-1418 b
868,1.99,4.62,3.22,2.024152,0.032,5790.0,1.27,0.99,0.08,1,3,548.686,0.4671464803664333,1,Kepler-142 b
